"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Svangerskapspenger - arbeidstaker med inntektsmelding med full refusjon","2289","Svangerskapspenger - arbeidstaker med inntektsmelding med full refusjon","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.svangerskapspenger.ArbeidstakerTest","no.nav.foreldrepenger.autotest.fpkalkulus.svangerskapspenger.ArbeidstakerTest","svangerskapspenger_arbeidstaker_full_refusjon"
"Foreldrepenger -  Arbeidstaker med 2 arbeidsforhold i samme bedrift, permisjon fra det ene. Felles inntektsmelding. ","10516","Foreldrepenger - Arbeidstaker med 2 arbeidsforhold i samme bedrift, permisjon fra det ene.","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","fp_flere_arbeidsforhold_samme_org_en_med_perm"
"Svangerskapspenger - Arbeistaker med avvik og søkt refusjon før start av ytelse","2844","Svangerskapspenger - Arbeistaker med avvik og søkt refusjon før start av ytelse","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.svangerskapspenger.ArbeidstakerTest","no.nav.foreldrepenger.autotest.fpkalkulus.svangerskapspenger.ArbeidstakerTest","svp_søkt_refusjon_før_start_av_permisjon_og_avvik"
"Test om logger kritiske feil","35","Test om logger kritiske feil Sjekk Feil i Logger[7] ""fpcache""","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Foreldrepenger - ett enkelt arbeidsforhold og frilans, avvik i beregningen","10512","Foreldrepenger - ett arbeidsforhold og frilans med avvik","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","foreldrepenger_arbeidsforhold_avvik"
"Foreldrepenger - Søker gradering for arbeid uten refusjonskrav og over 6G total refusjon.","1678","Foreldrepenger - Søker gradering for arbeid uten refusjonskrav og over 6G total refusjon.","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.GraderingTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.GraderingTest","fp_to_arbeidsforhold_gradering_uten_refusjon_og_over_6G_refusjon_totalt"
"Test om logger kritiske feil","33","Test om logger kritiske feil Sjekk Feil i Logger[3] ""vtp""","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Foreldrepenger - Militær og frilans i opptjening. Frilans utgjør mer enn 3G, ingenting tildeles militærandel.","10512","Foreldrepenger - Militær og frilans i opptjening.","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.MilitærTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.MilitærTest","foreldrepenger_frilans_over_3g_ingenting_til_militær"
"Foreldrepenger - Søker har kun militær status i opptjeningen. Berengingsgrunnlaget settes likt 3G. 80% dekningsgrad","10516","Foreldrepenger - Kun militær i opptjeningen","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.MilitærTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.MilitærTest","foreldrepenger_militær_settes_til_3g_dekningsgrad_80"
"Foreldrepenger -  Arbeistaker med arbeid som slutter dagen før skjæringstidspunktet. Arbeidsforhold som avslutter før skjæringstidspunktet tas med i beregning. ","1402","Foreldrepenger - Arbeistaker med arbeid som slutter dagen før skjæringstidspunktet.","","2026-02-06","passed","2026-02-06","","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","no.nav.foreldrepenger.autotest.fpkalkulus.foreldrepenger.ArbeidstakerTest","fp_arbeid_avslutter_dagen_før_stp"
