"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Far søker termin avslått pga søker er far","3337","Far søker termin","","Mon Jun 30 07:31:50 UTC 2025","passed","Mon Jun 30 07:31:54 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","farSøkerTermin"
"Test om lekker sensitive opplysninger","3","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[14] audit.nais","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Scenario 2: Mor har tatt ut mindre enn minsterett på barn 1 (f.eks. 4 uker igjen av minsteretten).Far tar ut ifm fødsel og 10 uker av fedrekvoten som strekker seg over uke 40 (termin for barn 2).Mor søker termin på barn 2 (40 uker etter barn 1) som førere til revurdering på far.Far sin sak revurderes og avslår uker som strekker seg forbi startdato barn 2 og som ikke er minstrett.Mor søker endring på barn 1 om å ta 8 uker (bare 4 uker gjenstår av minstrett) etter de 6 første ukene for barn 2. Delvis innvilget","74974","Mor og far beholder minsteretten ved to tette og kan ta ut denne etter fødsel av siste barn","","Mon Jun 30 07:30:51 UTC 2025","passed","Mon Jun 30 07:32:06 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ToTetteOgMinsterettTester","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ToTetteOgMinsterettTester","mor_og_far_beholder_minsteretten_ved_to_tette_og_kan_ta_ut_denne_etter_fødel_av_siste_barn"
"","8302","To arbeidsforhold samme org.","","Mon Jun 30 07:32:19 UTC 2025","passed","Mon Jun 30 07:32:28 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","toArbeidsforholdSammeOrgEttStarterEtterStp"
"Mor, med to arbeidsforhold, søker gradering. Samsvar med IM.","9341","Mor søker gradering. Med to arbeidsforhold. Uten avvikende inntektsmelding","","Mon Jun 30 07:32:34 UTC 2025","passed","Mon Jun 30 07:32:43 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerGraderingOgUtsettelseMedToArbeidsforhold_utenAvvikendeInntektsmeldinger"
"Mor fødsel med frilans som eneste inntekt. Oppgir ikke frilans i søknaden","7896","Mor fødsel med frilans som eneste inntekt","","Mon Jun 30 07:31:57 UTC 2025","passed","Mon Jun 30 07:32:05 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","morSøkerFødselMedEttArbeidsforholdOgFrilans_VurderOpptjening_VurderFaktaOmBeregning_AvvikIBeregning"
"Mor med ett arbeidsforhold sender inn inntektsmelding før søknad. Forventer at vedtak bli fattet og det blir bare opprettet en behandling","7830","Mor søker med ett arbeidsforhold. Inntektmelding innsendt før søknad","","Mon Jun 30 07:32:33 UTC 2025","passed","Mon Jun 30 07:32:40 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","MorSøkerMedEttArbeidsforholdInntektsmeldingFørSøknad"
"Test om logger kritiske feil","296","Test om logger kritiske feil Sjekk Feil i Logger[8] fprisk","","Mon Jun 30 07:34:02 UTC 2025","passed","Mon Jun 30 07:34:02 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Mor søker med utelandsk adresse og ingen registret inntekt","10895","Mor søker med utenlandsk adresse og ingen registert inntekt","","Mon Jun 30 07:31:26 UTC 2025","passed","Mon Jun 30 07:31:37 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","morSøkerFødselUtenlandsadresse"
"Manuelt opprettet revurdering etter avsluttet behandling med utsendt varsel","8104","Manuelt opprettet revurdering","","Mon Jun 30 07:32:09 UTC 2025","passed","Mon Jun 30 07:32:17 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Revurdering","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Revurdering","manueltOpprettetRevurderingSendVarsel"
